num_nodes,num_edges,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,total
250,6,4.3177604675292974e-05,1.926422119140625e-05,1.544952392578125e-05,0.00018117427825927737,9.906291961669922e-05,0.00035812854766845706
500,39,9.322166442871094e-05,5.6385993957519545e-05,5.197525024414062e-05,0.0004377126693725586,0.00022456645965576174,0.0008638620376586914
750,62,9.531974792480469e-05,5.60760498046875e-05,5.056858062744141e-05,0.0004520177841186523,0.00023875236511230465,0.0008927345275878905
1000,104,0.0002056598663330078,0.0001554250717163086,0.00014889240264892578,0.0010576009750366212,0.0005422115325927734,0.002109789848327637
1250,190,0.0005599498748779297,0.0004891633987426758,0.00047912597656250003,0.002901268005371094,0.0014402151107788086,0.005869722366333008
1500,255,0.002093696594238281,0.0019662618637084957,0.001953649520874023,0.011234784126281738,0.004979300498962402,0.02222769260406494
1750,356,0.004404544830322266,0.004189252853393555,0.004180216789245605,0.02088892459869385,0.009888195991516113,0.04355113506317139
2000,414,0.005490885840521919,0.005238930384318034,0.005229658550686307,0.027725325690375436,0.02645805146959093,0.07014285193549262
2250,603,0.020754218101501465,0.020055562257766724,0.020050793886184692,0.10516119003295898,0.0469910204410553,0.21301278471946716
2500,689,0.037370000566755025,0.03622106143406459,0.03622610228402274,0.1816936561039516,0.0826402051108224,0.3741510254996163
2750,983,0.05886060850960868,0.057155064174107144,0.057227373123168945,0.2863616943359375,0.1233320576804025,0.5829367978232247
3000,1109,0.19397040208180744,0.18833100795745847,0.18833569685618082,0.8991981744766235,0.4078301588694255,1.8776654402414958
3250,1195,0.22492520014444983,0.21907254060109455,0.2192405859629313,1.0388561487197876,0.4579758644104004,2.1600703398386636
3500,1602,0.4002204895019531,0.38912405967712405,0.38916950225830077,1.8804272651672362,0.8311599731445313,3.8901012897491456
3750,1658,0.5182459354400635,0.5044270515441894,0.5048015594482422,2.412613296508789,1.0552271366119386,4.995314979553223
4000,1882,0.7017821669578552,0.6831291317939758,0.683573842048645,3.213050425052643,1.4593330025672913,6.74086856842041
4250,2111,1.0922176241874695,1.0675618648529053,1.0679035782814026,4.811101317405701,2.172201156616211,10.210985541343689
4500,2207,1.3475152254104614,1.3159226179122925,1.3177139163017273,6.072440803050995,2.6241268515586853,12.677719414234161
4750,2569,1.7535585165023804,1.7072588205337524,1.70933336019516,7.986447691917419,3.449573338031769,16.60617172718048
5000,2997,2.2403295834859214,2.182757536570231,2.186740080515544,10.214028358459473,4.319726864496866,21.143582423528038
5250,3249,3.0491933822631836,2.950529019037883,2.95157249768575,13.141472816467285,5.76433785756429,27.85710557301839
5500,3465,3.2783762613932295,3.1986339886983237,3.200850248336792,14.657771905263264,6.322610457738241,30.658242861429848
5750,3830,4.180900812149048,4.036262432734172,4.049388647079468,18.746826489766438,8.000165065129599,39.013543446858726
6000,4201,4.80946946144104,4.684800068537394,4.683077494303385,21.97974181175232,9.108786741892496,45.26587557792663
6250,4509,5.852613290150961,5.67719841003418,5.688767751057943,26.568240324656166,10.944186210632324,54.73100598653157
6500,4584,6.620560646057129,6.472438335418701,6.48080595334371,31.046094814936318,12.569496075312296,63.189395825068154
6750,5419,7.388386845588684,7.2377049922943115,7.23540997505188,34.08142709732056,13.810627698898315,69.75355660915375
7000,5164,7.762153387069702,7.550984978675842,7.568001866340637,34.96670138835907,14.547681331634521,72.39552295207977
7250,6136,10.335111021995544,10.121168971061707,10.10946786403656,49.4059761762619,18.962115049362183,98.9338390827179
7500,6359,11.738233089447021,11.496735334396362,11.523473381996155,57.490774393081665,21.90747308731079,114.156689286232
7750,6810,12.400844931602478,11.953812599182129,11.927536725997925,58.80449616909027,22.796547055244446,117.88323748111725
8000,7234,13.94709861278534,13.631393551826477,13.636778950691223,68.69357466697693,25.971275210380554,135.88012099266052
8250,7951,16.01645529270172,15.678365349769592,15.691706895828247,80.42766308784485,30.27055788040161,158.08474850654602
8500,8406,17.71391260623932,17.29341232776642,17.31584060192108,90.85267436504364,33.08166682720184,176.2575067281723
8750,8580,19.793387055397034,19.298292875289917,19.291869163513184,102.12699103355408,36.94883918762207,197.45937931537628
9000,9329,22.358971118927002,21.045995950698853,21.084373354911804,109.8637855052948,41.04182553291321,215.39495146274567
9250,9444,24.55826508998871,24.01481282711029,24.004030346870422,124.7348724603653,45.56767988204956,242.87966060638428
9500,10109,27.402689933776855,26.77045714855194,26.826671957969666,142.96477711200714,51.5329909324646,275.4975870847702
9750,10836,29.98678207397461,29.336510062217712,29.35132896900177,158.67808151245117,57.11570966243744,304.4684122800827
10000,11974,34.31391501426697,33.60384178161621,33.63120412826538,184.242112159729,66.09499335289001,351.8860664367676
10250,12374,36.48241996765137,35.86099028587341,35.826355934143066,197.5279643535614,70.98788690567017,376.6856174468994
10500,12610,38.61982464790344,37.82167148590088,37.96296167373657,209.22480463981628,75.18047952651978,398.80974197387695
10750,13054,41.614317178726196,40.479772329330444,40.45185136795044,222.88819432258606,79.57380676269531,425.00794196128845
11000,14362,47.48735737800598,46.59179186820984,46.61207914352417,267.2094132900238,99.90514326095581,507.8057849407196
11250,14666,52.33926820755005,50.80881595611572,50.831634283065796,283.5764808654785,103.32021713256836,540.8764164447784
11500,14678,52.49696898460388,51.43051886558533,51.537877321243286,284.6168267726898,104.40024757385254,544.4824395179749
11750,15802,57.40784478187561,56.48011302947998,56.67372965812683,316.45892810821533,119.2175874710083,606.238203048706
12000,16865,64.29691982269287,63.35461091995239,63.25464129447937,361.27251172065735,135.52849531173706,687.707179069519
12250,17183,67.88161563873291,66.32037544250488,66.21587133407593,370.28780364990234,141.6806995868683,712.3863656520844
12500,17875,73.47214269638062,70.88724732398987,70.65198087692261,403.10497403144836,157.80245566368103,775.9188005924225
12750,18394,75.42199230194092,74.62912917137146,74.0125093460083,428.0256202220917,159.78660130500793,811.8758523464203
13000,19421,80.69232416152954,79.33504581451416,79.34757447242737,457.96769165992737,174.97874879837036,872.3213849067688
13250,20097,87.79171013832092,85.68666195869446,85.07392907142639,483.32971453666687,189.3637683391571,931.2457840442657
13500,20619,94.06467151641846,92.7502088546753,92.7363748550415,518.5286028385162,204.10745310783386,1002.1873111724854
13750,21566,102.32277035713196,101.05282807350159,101.17269897460938,560.7756435871124,221.64859199523926,1086.9725329875946
14000,22196,104.74549865722656,103.04300022125244,102.88875365257263,586.2094292640686,232.91436171531677,1129.801043510437
14250,23405,116.26938009262085,114.75992846488953,114.64768409729004,639.3662405014038,255.1900942325592,1240.2333273887634
14500,24146,118.20131707191467,116.73540019989014,116.76422381401062,672.1254663467407,264.2428209781647,1288.0692284107208
14750,24809,125.16597938537598,124.12327527999878,124.09418153762817,702.0497715473175,279.8178553581238,1355.2510631084442
15000,25827,136.5056917667389,134.81142330169678,135.01030588150024,761.9706237316132,305.9726130962372,1474.2706577777863
15250,26523,144.3941831588745,143.20888662338257,143.26279163360596,807.8467619419098,327.79835200309753,1566.5109753608704
15500,27700,150.97640824317932,149.64976692199707,149.57913160324097,850.2162413597107,346.73728823661804,1647.158836364746
15750,28870,164.7682182788849,162.02506732940674,162.11638069152832,922.2140717506409,370.428426027298,1781.5521640777588
16000,29121,166.14020800590515,164.88221192359924,164.85929942131042,935.4886946678162,379.537878036499,1810.90829205513
16250,30715,181.9229860305786,180.33636093139648,180.15323686599731,1019.7875256538391,416.72944617271423,1978.9295556545258
16500,31290,189.67270421981812,186.73669838905334,186.98259115219116,1076.3667604923248,441.4839572906494,2081.242711544037
16750,32316,197.21829676628113,194.15758228302002,194.01247358322144,1093.903145313263,446.9587073326111,2126.2502052783966
